de,en
"Ein Reisender erzählte dem Sender CNN, viele Menschen hätten in Panik Schutz gesucht.",One traveller told the broadcaster CNN about how many people had sought protection in panic.
"Dort ließ er sie zum Teil überwachen, um ihre Einnahmen zu kontrollieren.","There he had them monitored to some extent, in order to control their income."
Das teilt Ulrich Knobel vom veranstaltenden Sportverein Illmensee mit.,This was announced by Ulrich Knobel of the organising Illmensee Sports Club.
"Ein Sprecher des israelischen Verteidigungsministeriums sagte jedenfalls: ""Wir kommentieren diese Berichte nicht"".","In any case, a spokesperson for the Israeli Ministry of Defence said: ""We are not commenting on these reports""."
"Doch er stritt ab, die Änderungen auf Bitten von Obeid vorgenommen zu haben, der, wie Tripodi bestätigte, auf eine Umgestaltung der Pachtregelungen der Regierung gedrängt hatte.","But he denied the changes were made at the request of Mr Obeid, who Mr Tripodi acknowledged was urging a shift in government lease policy."
Er und die Gemeinderäte freuten sich sichtlich über die guten Zahlen.,He and the Town Councillors are clearly delighted with the good figures.
"Eine 21-jährige Frau aus Sydney, die in Phuket zu 15 Tagen Gefängnis verurteilt wurde, weil sie fälschlicherweise behauptet hatte, von einem Taxifahrer vergewaltigt worden zu sein, hat gegen das Urteil Berufung eingelegt und wurde auf Kaution freigelassen.",A 21-year-old Sydney woman sentenced to 15 days jail in Phuket for falsely claiming she was assaulted by a taxi driver is appealing the verdict and has been granted bail.
"Als Déjà Vu bezeichnet man laut Lexikon ein psychologisches Phänomen, das sich in dem Gefühl äußert, eine neue Situation schon einmal erlebt oder gesehen zu haben.","According to dictionaries, déjà vu is defined as a psychological phenomenon, which expresses itself in the feeling of having already experienced or seen a new situation."
Vier Fahrer konnten sich von den regionalen Spitzenfahrern absetzen.,Four cyclists managed to break away from the top regional racers.
"Sie müssen nachweisen, dass ihre Flugzeuge die Funkstörungen durch Mobilgeräte tolerieren können, und Handbücher, Schulungsmaterialien, Handgepäck-Programme sowie Kundenunterweisung ändern.","Carriers will need to prove their planes can tolerate radio interference from mobile devices as well as revise manuals, training materials, carry-on baggage programs and passenger briefings."
Die abgehörten Gespräche seien von hoher Aggression geprägt gewesen.,The intercepted conversations were characterised by a high level of aggression.
"In dem Brief schreibt Snowden, er sei davon überzeugt, dass die Unterstützung der internationalen Gemeinschaft die amerikanische Regierung davon überzeugen könne, die Anklage gegen ihn fallen zu lassen.","In the letter, Mr Snowden said he believed the support of the international community could persuade the US government to abandon criminal charges against him."
"Der neue Impfstoff enthält einen harmlosen Virus, der so verändert wurde, dass er die genetischen Informationen zur Herstellung von Nikotin-Antikörpern enthält.",The new vaccine contains a harmless virus that has been engineered to carry the genetic information to make anti-nicotine antibodies.
Für mich hatte die Umstellung einen positiven Aspekt.,Converting has had a positive effect for me.
Den ganzen Hintergrundbericht dazu finden Sie im Allgäuer Anzeigeblatt vom 31.10.2013 (Seite 33).,"The complete background report on this can be found in the ""Allgäuer Anzeigeblatt"" newspaper dated 31/10/2013 (page 33)."
"Am 21. Juni zusammen mit der Sonnwendfeier des Schwarzwaldvereins, am 12. Juli in der Arena mit Feuerwerk und am 13. Dezember als erstes Konzert der Stadtmusik in der neuen Festhalle.","On 21 June, in conjunction with the Schwarzwaldverein [Black Forest Association] Mid-Summer Festival, on 12 July in the Arena, accompanied by fireworks, and on 13 December as the first concert put on by the Stadtmusik (Town Musical Society) in the new Festival Hall."
Auch Einzelheiten wie der Ph-Wert des Fleisches spielen eine Rolle.,Even specific details such as the pH value of the meat play a role.
"Bei der Entdeckung des Tunnels seien achteinhalb Tonnen Marihuana und 148 Kilogramm Kokain sichergestellt worden, so die Aufzeichnungen des Gerichts.","Authorities seized eight-and-a-half tons of marijuana and 327 pounds of cocaine in connection with the tunnel's discovery, according to court records."
"„Das stellt die langfristig sinnvollste Alternative dar“, sagte er.","""This works out as the most logical alternative over the long term,"" he said."
"NSA erklärt, ein „interner Fehler“ und nicht Hacker seien Schuld am Crash der Website","NSA Blames ""Internal Error,"" Not Hackers, For Website Crash"
Die drei Schiffsentlader auf der Brücke sowie das zweite Transportband könnten bis zu 10 Millionen schaffen.,The three ship unloaders on the bridge and the second transport belt could see this rise to 10 million.
"Eine entspanntere Atmosphäre zu schaffen, ist das Ziel dieser Neuerung.",The goal of this adjustment is to create a more relaxing atmosphere.
"Ich konnte gar nicht glauben, dass sie wirklich da oben war.",I could not believe that she was up there in the first place.
"Der Abschluss dieses Vorgangs, der im Grunde genommen die erste Stufe der Zerstörung darstellt, ist ein wichtiger Meilenstein eines ambitionierten Zeitplans, der auf die Vernichtung aller Chemiewaffen Syriens bis Mitte 2014 abzielt.",The completion of what is essentially the initial stage of destruction is a significant milestone in an ambitious timeline that aims to destroy all of Damascus' chemical weapons by mid-2014.
"Wie Wilkie heute erklärte, würden die 325 Millionen Dollar nur wenig nützen, wenn „sie nicht von echten Reformen begleitet werden, die das öffentliche tasmanische Gesundheitssystem auf einen nachhaltigeren Kurs bringen.“","Mr Wilkie today said the $325 million would count for little ""unless it's followed by genuine reform to put Tasmania's public health system on a more sustainable footing."""
Zwischen den einzelnen Spielszenen spielte die Mühlenbacher Bauernkapelle passend ausgewählte Musikstücke und rundete damit die Aufführung ab.,"Between the individual scenes, the Mühlenbacher Bauernkapelle played appropriately selected musical pieces, thus rounding off the performance."
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East."
"Die Untersuchung kam zu dem Ergebnis, dass nicht auszuschließen sei, dass die Neigungsverhältnisse der Straße dazu führen könnten, dass längere Fahrzeuge aufsitzen.",The investigation came to the conclusion that it could not be ruled out that the inclination of the road could result in longer vehicles becoming stuck.
Ebenfalls beschädigt wurde der hinter dem BMW fahrende VW Passat eines 19-Jährigen.,The VW Passat of a 19-year-old driver travelling behind the BMW was also damaged.
"Die Eiscreme nutzt die fluoreszierenden Eigenschaften einer Qualle, die von chinesischen Wissenschaftler künstlich hergestellt werden","The ice cream harnesses the fluorescent properties of a jellyfish, synthesized by Chinese scientists"
"""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert."
"Dieses Jahr werden Amerikaner etwa 106 Millionen Dollar für Kürbisse ausgeben, so das US Census Bureau.","This year, Americans will spend around $106 million on pumpkins, according to the U.S. Census Bureau."
"Offensichtlich weiß er von der zweiten, der Überwachung, anders kann es nicht sein.","Obviously he knows about the second, surveillance, he must do."
"Verkehrsministerin Baroness Kramer sagte, das Projekt „wird Großbritannien näher zusammenbringen“.","Transport minister Baroness Kramer said the project would ""bring the UK together."""
Antizipation des Anschlags: So funktioniert auch Obamas Drohnen-Philosophie und -Praxis.,Anticipation of attack: This is also how Obama's drone philosophy and practices work.
"Es gibt keinen Beleg dafür, dass Hormone oder andere Chemikalien verantwortlich sind",There's no evidence that hormones or other chemicals are to blame
"""Ich lehne die Menschen ja nicht ab, ich bin Teil dieser Gesellschaft"", möchte Proctor kein Enklavendasein fristen.","""I do not disapprove of people, I am part of this society,"" said Proctor, explaining that he was not choosing a life of isolation."
"Die Ankündigung kam zu einer Zeit, als am Donnerstag Kämpfe in der Stadt Safira stattfanden, von der Experten sagen, dass es hier eine Produktionseinrichtung für Chemiewaffen sowie Lagerstätten gebe, wie die in Großbritannien ansässige Syrische Beobachtungsstelle für Menschenrechte mitteilte.","The announcement came as fighting raged Thursday in the town of Safira, which experts say is home to a chemical weapons production facility as well as storage sites, reported the Britain-based Syrian Observatory for Human Rights."
"Nass wurde deshalb auch der FC-Vorsitzende Albrecht Schlenker, der von der Erfüllung eines Traums sprach.","Thus, FC Chairman Albrecht Schlenker, who spoke of the fulfilment of a dream, also got fairly wet."
"Und mit einem Event spreche ich immer nur die an, die sich auch für das spezielle Event interessieren.","And with an event, I am always only appealing to those who have expressed an interest in the special event."
"Ulrich Hackenberk, Vorstandsmitglied bei Autohersteller Audi, sagt, dass es seit Jahren zur Standardpraxis gehöre, vor einem Vorstandstreffen die Handys einzusammeln, damit sie nicht als Abhörgeräte verwendet werden können.","Ulrich Hackenberg, board member at carmaker Audi, says it has been standard practice for years for mobile phones to be collected before board meetings so they cannot be used as remote listening devices."
Bisher wurde den Rheinländern die Lizenz aber zweimal verweigert.,"However, the Rhineland team have already been refused the licence twice."
"Die Verwaltung hatte die Umbaupläne der Bahn vom Ingenieurbüro Breinlinger untersuchen lassen, da sie Zweifel daran hatte, ob der geplante Anschluss des Geroltzhäuser Wegs dann noch ohne weiteres möglich sei.","The Administrative Department had Deutsche Bahn's reconstruction plans investigated by the Breinlinger Engineering Office, as they had doubts as to whether the planned connection of the Geroltzhäuser Weg will be straightforward."
"Papst Franziskus werde am 22. Februar erstmals neue Kardinäle der katholischen Kirche berufen, wie der Vatikan am Donnerstag bekannt gab.","Pope Francis will create new cardinals of the Catholic Church for his first time on February 22, the Vatican announced Thursday."
"Im Jahr 2010 fanden Behörden eine knapp 640 Meter lange Passage mit Schienen, die von einer Küche in einem Wohnhaus in Tijuana zu zwei Lagerhäusern in San Diego verlief.","In 2010, authorities found a roughly 700-yard passage equipped with rail tracks that extended from the kitchen of a Tijuana home to two San Diego warehouses."
"Ferne Planeten, Gravitationswellen oder schwarze Löcher - Experten der europäischen Raumfahrtagentur müssen sich jetzt auf zwei Großprojekte einigen, die sie in den nächsten Jahren starten wollen.","Distant planets, gravitational waves or black holes - experts from the European Space Agency must now agree on two major projects that are to be launched in the coming years."
"Deutschland ist die erste europäische Nation, in der ein drittes Geschlecht für Kinder anerkannt ist, die mit nicht eindeutigen Genitalien geboren wurden.",Germany became the first European nation to recognize a third gender for babies born with ambiguous genitalia.
"Darüber hinaus diene die Strecke als Umleitungfür diejenigen Fahrzeuge, die den Tunnel nicht benutzen dürfen, wenn die Hauptstraße gesperrt ist, argumentierte Haas.","Furthermore, when the Hauptstrasse is blocked, the route would also serve as a bypass for those vehicles that are not permitted to use the tunnel, argued Haas."
An diesem Festwochenende ist außerdem noch das Kirchen-Hausener Kirchenfest.,The Kirchen-Hausen Kirchenfest festival will also be held on this celebratory weekend.
Bei einigen der Wagen kann es einen Defekt im Mechanismus für das Zurückstellen der Vordersitzlehne geben.,"On some of the trucks, the front seats may have a defect in the reclining mechanism."
Zu uns kommen Kunden aus jeder sozialen Schicht.,We see customers from all walks of life.
"Passagiere werden aufgefordert, Smartphones, Tablets und andere Geräte in den Flugmodus zu versetzen.","Passengers will be told to switch their smartphones, tablets and other devices to airplane mode."
"Seine Mutter, Donna, 30, sagte: „Fenton und Toffee sind ein großartiges Gespann.“","His mother Donna, 30, said: ""Fenton and Toffee are a great double act."""
"Konkrete Planungen wurden vor zwei Jahren aufgenommen, als der FC die Schabelstube in Erbpacht übernahm, eine Kostenbeteiligung von 100 000 Euro für den Bau des Platzes zusagte und das Land Fördermittel von 104 000 Euro billigte.","Specific plans were drawn up two years ago, when the FC inherited the Schabelstube in leasehold, promised a contribution of EUR 100,000 for the construction of the pitch and the state approved a subsidy of EUR 104,000."
"Bürgermeister Thomas Haas widersprach: Der Bahnübergang ""Hirschen"" werde regelmäßig für Langholztransporte genutzt.","Mayor Thomas Haas retorted: The ""Hirschen"" railway crossing is used regularly for the transportation of long logs."
Zu den Verfechtern einer Lockerung der Einschränkungen für die Gerätenutzung durch Passagiere zählt Amazon.com.,Among those pressing for a relaxation of restrictions on passengers' use of the devices has been Amazon.com.
"Fluggesellschaften begannen 2008 damit, für das erste und zweite aufgegebene Gepäckstück Gebühren zu verlangen.",Airlines began charging for the first and second checked bags in 2008.
Nicht zuletzt auch durch die Hochschule.,Not least through university customers.
"Sie wollen herausfinden, welche Rolle der Riesenplanet bei der Entwicklung des Sonnensystems gespielt hat.",They want to find our what role the giant planet has played in the development of the solar system.
"Ich hatte den Eindruck, eine zweite Amtszeit für Obama, frei vom Druck künftiger Wahlen, würde die Hoffnung erfüllen, von der wir schon so lange gehört hatten.","I felt that a second term for Obama, free from the pressures of future elections, would fulfill the hope that we had heard of for so long."
Die Sonde soll 2017 starten und Oberfläche und Aktivität der Sonne genau beobachten.,The probe is to be launched in 2017 and will closely observe the surface and activity of the sun.
Mit dem Ausbau der Niedersachsenbrücke setzt Rhenus Midgard weiterhin auf den Kohleimport für Kraftwerke und ist auf diesem Sektor einer der Großen in Europa.,"With the construction of the Lower Saxony Bridge, Rhenus Midgard is continuing to focus on coal exports for power stations and is one of the major powers in this sector in Europe."
"Andy Clayton, Spezialist des technischen Rettungsteams, sagte: „Sie war in einer gefährlichen Lage.",Specialist Technical Rescue Officer Andy Clayton said: 'She was in a precarious situation.
"Die fragliche Beziehung ist nicht einfach die eines Drogenhändlers, sondern eines Drogenhändlers, der seinen Anwalt mit Drogen versorgt.","The relationship we are talking about is not simply a drug dealer, but a drug dealer providing his own lawyer with drugs."
"Cook sagte: „Nach den Erhöhungen bei der Stempelsteuer auf hochpreisige Wohnungen und der Einführung der damit verbundenen Gesetzgebung gegen ein Umgehen kann man schwerlich behaupten, hochwertige Immobilien seien zu niedrig besteuert, ungeachtet der Auswirkungen des veralteten Gemeindesteuersystems.“","Mr Cook said: ""Following increases in stamp duty of high value homes and the introduction of associated anti-avoidance legislation, it is very difficult to argue that high value property is under-taxed irrespective of the effect of the out-dated council tax system."""
Als Grund nannte der Ältere unter anderem eine Rivalität im Fußballspiel.,The older of the pair cited a rivalry on the football field as the motive.
Papst Franziskus ernennt im Februar erste Kardinäle,Pope Francis to name first cardinals in February
"Ich habe 2012 wieder Obama gewählt, nicht weil ich über seine Kandidatur begeistert war.","I voted for Obama again in 2012, but not because I was excited by his candidacy."
"In die anhaltenden Diskussionen um die Zukunft der Musikhochschulen in Baden-Württemberg hat sich nun auch Cem Özdemir, Bundesvorsitzender der Grünen, eingeschaltet.","Cem Özdemir, Federal Chairman of the Green Party, has now engaged in the ongoing discussions regarding the future of the Baden-Wuerttemberg Music Academy."
Eine ähnliche Konstruktion verschafft seit einigen Jahren dem italienischen Alpenort Viganella winterlichen Sonnenschein.,A similar construction has provided sunshine to the Italian alpine resort of Viganella for a number of years.
"O'Malley erklärte, die Website von Frontier und die Check-in-Verfahren würden geändert, sodass die Passagiere über die Gebühr informiert seien, ehe sie zum Flugsteig kämen.",O'Malley said Frontier's website and check-in procedures are being changed to make sure passengers know about the fee before they get to the gate.
"Die EU wird nicht verschwinden, aber sie wird eher so etwas wie das „Europa der (souveränen) Nationen“ werden, das General de Gaulle favorisierte.","The EU won't disappear, but it will revert to something more like the loose ""Europe of the (Sovereign) Nations"" favoured by General de Gaulle."
"Und beim Prätorium handelt es sich um den ehemaligen Statthalterpalast, das Machtzentrum des römischen Imperiums am Rhein.",And the Praetorium refers to the former Governor's Palace and the centre of power of the Roman Empire on the Rhine.
"Die britische Polizei hat heute einen Auslieferungsbescheid an WikiLeaks-Gründer Julian Assange übergeben, der in der ecuadorianischen Botschaft in London Zuflucht gesucht und Asyl beantragt hat.","Btitish police served an extradition notice today on WikiLeaks founder Julian Assange, who has taken refuge in Ecuador's embassy in London and requested asylum."
"Der Vatikan möchte wissen, wie katholische Pfarreien auf der ganzen Welt mit sensiblen Themen wie Verhütung, Scheidung und schwule Paare umgehen.","The Vatican wants to know how Catholic parishes around the globe handle sensitive issues like contraception, divorce and gay couples."
Intersexuelle Kinder stellen ein ethisches Dilemma dar.,Intersex children pose ethical dilemma.
Henne erwähnte auch ein neues Mutter-Kind-Krankenhaus in Nouakchott,Henne also mentioned a new mother and child hospital in Nouakchott
"Frühere Gespräche zwischen den Parteien haben nur wenig zur Beilegung der Spannungen beigetragen, die durch eine Reihe von Zusammenstößen in diesem Jahr befeuert wurden.",Previous talks between the parties have done little to ease tensions fuelled by a series of clashes this year.
"Nach dem neuen Gesetz müssen Eltern kein Geschlecht mehr für solche Kinder erklären, sondern können „unbestimmt“ oder „nicht festgelegt“ auf der Geburtsurkunde angeben.","The new law doesn't require parents to declare any gender for such children, allowing parents to declare gender ""undetermined"" or ""unspecified"" on their birth certificates."
"Malcolm Delaney und Nihad Djedovic waren die erfolgreichsten Werfer der Münchner, die in den ersten beiden Partien gegen den italienischen Serienmeister Montepaschi Siena und den polnischen Titelträger Zielona Góra deutliche Siege gefeiert hatten.","Malcolm Delaney and Nihad Djedovic were the most successful strikers for the Munich team, who had celebrated clear wins against the Italian Series champions Montepaschi Siena, and the Polish title-holders, Zielona Góra, in their first two games."
Wie sieht es mit der ersten aus?,What about the first?
"Zurzeit entscheiden sich immer weniger junge Menschen nach dem Abitur, Theologie zu studieren.","At present, fewer and fewer young people are deciding to study theology after their Abitur examinations (equivalent to A levels)."
"Am Ende präsentierte Pfarrgemeinderat Michael Schöner aus Steinach das neue Logo der Seelsorgeeinheit, dem mit deutlicher Mehrheit zugestimmt wurde.","At the end, Parish Counsellor Michael Schöner from Steinach presented the new logo of the pastoral care unit, which was agreed on by a clear majority."
Dies berichtete der Sender SABC.,This was reported by broadcaster SABC.
Vertreten waren wichtige Anbieter rund um eine Hochzeit.,Important suppliers of all wedding-related products and services were represented.
Ohne es stehen wir vor einer Kapazitätskrise in unserem Bahnnetz.,Without it we face a crisis in capacity on our rail network.
"Jumbo auf der Suche nach dem ""besten Schinken der Welt"": Für die TV-Sendung ""Galileo"" besuchte der Pro7-Star Bonndorf.","Jumbo on the search for the ""world's best ham"": For the TV programme ""Galileo"", the Pro7 star visited Bonndorf."
Nachgewiesen wurden sie bis heute nicht.,To date they have never been proved to exist.
"Erst gegen Ende kommt die überdrehte Aufführung etwas zur Ruhe, und Winklers nachgerade absurder Humor blitzt auf.","Only towards the end does the highly charged performance start to wind down, and we see flashes of Winkler's somewhat absurd sense of humour."
"Deshalb sind wir erfreut, als Partner der britischen Regierung zu arbeiten und die Optionen für eine Hochgeschwindigkeits-Bahnverbindung in Schottland zu untersuchen, die Vorteile für alle schafft und die Verbindung Glasgow-Edinburgh ergänzt, die die schottische Regierung bereits plant.","So we are excited to work in partnership with the UK Government to examine options for bringing high speed rail to Scotland, creating benefit for all and complementing the Glasgow-Edinburgh line which the Scottish Government is already planning."
"""Diesen dünnt diese Unternehmung trotz der Preiserhöhung für Briefe am Januar 2013 radikal und unzumutbar aus"".","""The company is radically and unacceptably cutting back on this, despite the price increase for letters in January 2013."
Zwei Tage darauf kam die Hälfte des gesamten Aktienhandels in den USA wegen einer Computerpanne an der Nasdaq-Börse für mehrere Stunden zum Erliegen.,"Two days later, half of all stock dealing in the USA came to a standstill for several hours, due to a computer failure in the Nasdaq exchange."
"Wir sind der Ansicht, dass Bombardier neue Bestellungen für die CSeries erhalten wird, wenn das Testprogramm für das Flugzeug voranschreitet.",We believe that Bombardier will receive new orders for the CSeries as the flight test program progresses.
"Er könnte im Gegensatz zu Anlagen auf der Erde auch Gravitationswellen nachweisen, die beim Urknall entstanden sind, und so neue Erkenntnisse über die Entstehung des Kosmos liefern.","Unlike systems on Earth, it could also prove gravitational waves created during the Big Bang, and thus provide fresh knowledge regarding the origin of the cosmos."
"„In diesem Fall habe ich Zoomlion geschädigt ebenso wie die gesamte Nachrichtenbranche und ihre Fähigkeit, das Vertrauen der Öffentlichkeit zu gewinnen“, erklärte er gegenüber dem staatlichen Nachrichtensender CCTV.","""In this case I've caused damages to Zoomlion and also the whole news media industry and its ability to earn the public's trust,"" he told state broadcaster CCTV."
"Er wurde nicht nur vom Publikum mit viel Applaus empfangen, auch seine Schwester Philippine hieß ihn willkommen.","Not only was he received with great applause from the audience, but was also welcomed by his sister Philippine."
"Die FAA begann 1966, die Nutzung elektronischer Geräte durch Flugreisende einzuschränken, nachdem Berichte über Störungen von Navigations- und Kommunikationsgeräten durch von Passagieren mitgeführte UKW-Radios bekannt geworden waren, die damals den neuesten Techniktrend darstellten.","The FAA began restricting passengers' use of electronic devices in 1966 in response to reports of interference with navigation and communications equipment when passengers began carrying FM radios, the high-tech gadgets of their day."
"Ab 2015 müssen Schüler eine eigenständige GCSE-Prüfung für Sprache ablegen, wobei es starke Anreize dafür gibt, englische Literatur als separate Qualifikation zu wählen.","From 2015, pupils will be required to take a standalone GCSE in language, with strong incentives to choose English literature as a separate qualification."
"Diese beziffern die ihnen aus der Energiewende entstehenden Mehrkosten, die sie durch eine Umlage über den Strompreis erheben können.","They estimate the additional costs they will incur as a result of the ""energy turnaround"", which they will be able to recover by means of a levy on the price of electricity."
Die USA haben ihre Haltung zum früheren US-Geheimdienstmitarbeiter Edward Snowden nicht geändert.,The USA have not changed their position regarding the former US Secret Service employee Edward Snowden.
"Dafür sieht die Esa die erste der insgesamt drei L-Missionen des ""Cosmic Vision""-Programms vor.","The ESA is planning that the first of the total of three L-Missions of the ""Cosmic Vision"" programme will address this subject."
Drama in Uruguay: Jungen töten Spielkamderaden mit Machete,Drama in Uruguay: Boys kill playmate with machetes
"In Firmen haben häufig Administratoren die Möglichkeit, elektronische Post mitzulesen.","Within companies, administrators are often able to read electronic mail that is sent."
Dicks Erzählung wirkt wie die Blaupause für die Anti-Terror-Gesetze und den Abhörrausch der NSA.,Dick's tale acts as a blueprint for the anti-terror laws and the phone tapping madness of the NSA.
Der Baubeginn des 68 mal 108 Meter großen Kunstrasenplatzes erfolgte am 4. Juni.,Work began on the 68 x 108 metre astro-turf pitch on 4 June.
Treffpunkt für seine Führungen ist das Service-Center von Köln-Tourismus direkt am Dom.,"The meeting point for his tours is the Cologne Tourism Service Centre, right at the cathedral."
"Schauspieler Orlando Bloom hat sich zur Trennung von seiner Frau, Topmodel Miranda Kerr, geäußert.","Actor Orlando Bloom announced his separation from his wife, supermodel Miranda Kerr."
"""Kutschen sind aber auch für Jungesellinnenabschiede beliebt"", meint er.","""However, carriages are also popular for hen parties,"" he commented."
"""Eine krasse Fehlentscheidung"", meinte Rangnick, der Schiedsrichter Harkam als ""völlig überfordert"" bezeichnete.","""A blatant wrong decision,"" commented Rangnick, who referred to Harkam as being ""completely out of his depth""."
"Auf die Frage, ob er gerne in das Amt des Premierministers zurückkehren würde, wurde Blair vom Evening Standard aus London mit den Worten zitiert: „Ja, sicher, aber es ist unwahrscheinlich, dass das passiert, also ...“","Asked if he would return to the post of prime minister, Mr Blair was quoted by London's Evening Standard as saying: ""Yes, sure, but it's not likely to happen is it, so..."""
"Die 70-minütige Performance übertüncht die Vorlage mit einer Fülle an Regieeinfällen, bekannt aus dem Repertoire postdramatischer Spielformen.","The 70-minute performance glosses over the script with a host of director's additions, well-known from the repertoire of post-dramatic theatrical styles."
"Das hat Dynamik, wenn man zusammen kocht, hat das einen neuen Stellenwert.",When you cook together there is a certain dynamic - cooking takes on new value.
"""Die Ehe ist die wichtigste Entdeckungsreise, die der Mensch unternehmen kann"", sagte der Philosoph Sören Kierkegaard.","""Marriage is and remains the most important journey of discovery a person can undertake,"" said the philosopher Sören Kierkegaard."
"„Das langsame Voranschreiten der Flugtest – auch wenn sie offensichtlich Bombardiers interner Planung entsprechen – bestärkt unsere Ansicht, dass sich die Inbetriebnahme auf das erste Quartal 2015 verschiebt“, sagte Doerksen.","""This slow pace of flight testing - although in line with Bombardier's internal schedule apparently - reinforces our view that entry-into-service will be pushed to Q1/15,"" said Doerksen."
Was soll man dann tun - bei Rot fahren?,What should you do - drive through on red?
"John Kerry erklärt in einem beispiellosen Eingeständnis, die US-Spionage sei „unangemessen zu weit gegangen“","John Kerry says US spying has ""reached too far inappropriately"" in unprecedented admission"
"Beamte beobachteten, wie Scarborough (32) drei Beutel Kokain am Haus des Anwalts in Blackburn, Lancashire, ablieferte, während dieser mit Kollegen bei einem Essen der Anwaltskammer war.","Officers spotted Sarborough, 32, dropping off three bags of cocaine at the lawyer's home in Blackburn, Lancashire, while he was out at a Law Society dinner with colleagues."
"Im nachmittäglichen Handel am Donnerstag gab die Bombardier-Aktie um 8,5 Prozent nach und lag bei 4,83 kanadischen Dollar, nachdem auch angekündigt wurde, dass der Google-Finanzvorstand Patrick Pichette in den Vorstand wechseln wird.","Shares of Bombardier, which also announced that Google Inc Chief Financial Officer Patrick Pichette would join the board, were down 8.5 percent at C$4.83 in mid afternoon trading on Thursday."
"Seine Anstrengungen, den Fisch endlich an die Oberfläche des Wassers zu ziehen, sind so echt, dass die Zuschauer vergessen, dass das Meer doch nur aus blau beleuchteten Wasserflaschen besteht.","His efforts to finally pull the fish to the surface of the water are so genuine that members of the audience forget that the sea in question consists merely of water bottles, illuminated in blue."
"Er fügte hinzu: „Wir haben es mit einer neuen Welt zu tun, in der Menschen bereit sind, sich selbst in die Luft zu sprengen.“","He added: ""We're dealing in a new world where people are willing to blow themselves up."""
Zugrunde gelegt ist der Planung der Schutz vor einem laut Deutschen Wetterdienst statistisch alle 100 Jahre zu erwartenden Hochwasser.,"The basis for the plans is the need for protection against expected floods, which statistically occurs every 100 years, according to the German Weather Service."
"Das ist das ""Blade Runner""-Problem.","That is the ""Blade Runner"" problem."
"Mindestens sechs Behörden weltweit – die Europäische Kommission, Finma, die Schweizer Wettbewerbsbehörde Weko, die FCA, das US-amerikanische Justizministerium und die Hong Kong Monetary Authority – beschäftigen sich derzeit mit Vorwürfen, wonach Banker sich bei Transaktionen am Währungsmarkt abgesprochen haben sollen.","At least six authorities globally - the European Commission, Finma, Switzerland's competition authority Weko, the FCA, the Department of Justice in the US and the Hong Kong Monetary Authority - are looking at allegations that bankers colluded to move the currencies market."
"Nicht alles muss vereinfacht werden oder zum Happy End führen, aber es gibt einen immanenten Sinn für Gut und Böse.","Not that everything has to be simplified or come to a happy ending, but that there is an innate sense of good and evil."
D i e Lösung gebe es nicht für das Alter.,There is no solution to overcoming old age.
"Doch die Bedenken haben zugenommen, seit Mazanga mit den Worten zitiert wurde, Renamo gebe das Friedensabkommen von 1992 auf.",But concerns have grown after Mr Mazanga was quoted as saying Renamo was abandoning the 1992 peace accord.
"Informationen im Internet: Obwohl das Baarstädtchen Löffingen mit seinen 7514 Einwohnern, einer intakten Infrastruktur, einer zukunftsweisenden Schul-, Kinder-, Jugend- und Seniorenpolitik, sowie eigenen Stadtwerken als attraktive Stadt bezeichnet werden kann, hat sich bisher noch kein zweiter Bürgermeisterkandidat gemeldet.","Information online: Although Löffingen, the small town of Baar, with its 7,514 residents, can be described as having an intact infrastructure, forward-looking school, youth and senior citizens policies and its own municipal energy companies, thus far no-one has registered as a second mayoral candidate."
"Staatsanwalt Andrew Edis QC erklärte dem Gericht im Old Bailey, News of the World habe im Mai 2005 ein falsches Gerücht dahingehend gehört, dass Clarke ein Verhältnis mit seiner „attraktiven Sonderberaterin“ Hannah Pawlby hätte.","Prosecutor Andrew Edis QC told the Old Bailey that the News of the World heard a false rumour in May 2005 that Clarke was seeing his ""attractive special adviser,"" Hannah Pawlby."
"Die Einschränkungen sind auch zunehmend schwerer durchzusetzen, weil die Nutzung der Geräte allgegenwärtig geworden ist.",The restrictions have also become increasingly difficult to enforce as use of the devices has become ubiquitous.
"„Sie trommeln die ganze Nacht, damit wir wach bleiben und unsere Arbeit fortsetzen können“, sagt Bwelle.","""They are beating drums all night to keep us awake and continue our work,"" Bwelle said."
"""Er habe sich aus diesen Kreisen gelöst und wolle nach der Haft ein ganz normales Leben führen"", meinte er.","""I have removed myself from these circles and hope to lead a completely normal life following my imprisonment,"" he stated."
"Diese wird im Jubiläumsjahr fertig und eingeweiht, der offizielle Termin ist am letzten Septemberwochenende, am 27. und 28. September.","This venue will be completed and inaugurated in the anniversary year, with the official date set for the last weekend in September, on 27 and 28 September."
