source,reference,hypothesis,chrf,bertscore_p,bertscore_r,bertscore_f1,glossary_hits,glossary_misses,capitalised_noun_count,separable_verb_count,error_category
Die Regierung denkt im Rahmen erweiterter Maßnahmen über einen „Echtheitstest“ für ausländische Arbeitnehmer mit 457-Visum nach.,"A ""genuineness"" test for foreign workers on 457 visas is being considered by the government as it contemplates expanding a crackdown.","The government is considering an ""reality test"" for foreign workers with 457 visas in the context of expanded measures.",47.65,0.9431,0.9336,0.9383,,,5,0,GOOD
Herr Ditta brachte damit seinen Berufsstand in Verruf.,"Mr Ditta was not honouring his profession, but dishonouring it.",Mr. Ditta thus discredited his profession.,33.11,0.9567,0.9086,0.932,,,3,0,FLUENCY
"Die Einnahmen der Frauen, die zum Teil jahrelang für ihn anschafften, behielt er ein.","He kept the income from women, some of whom worked for him for years.","He retained the earnings of the women, who partly bought for him for years.",39.06,0.941,0.9439,0.9424,,,3,0,FLUENCY
Nach den ersten drei Spielen und einer Mittagspause mit Pasta ging das Turnier in die entscheidende Phase.,"After the first three matches and a lunch break with pasta, the tournament moved into the crucial phase.","After the first three games and a lunch break with pasta, the tournament went into the decisive phase.",73.53,0.9858,0.9858,0.9858,,,4,0,GOOD
"30 Ideen standen zur Debatte, fünf davon sind nun in die engere Wahl gekommen.","30 ideas were up for debate, of which five have now made it onto the short list.","30 ideas were under discussion, five of which have now come into the short term.",51.44,0.9392,0.9368,0.938,,,3,0,GOOD
Die Jagd nach dieser Technologie hat einige Behörden zu einem kleinen Startup-Unternehmen namens True Mileage in Kalifornien geführt.,The hunt for that technology has led some state agencies to a small California startup called True Mileage.,The hunt for this technology has led some authorities to a small startup company called True Mileage in California.,72.32,0.9661,0.9667,0.9664,,,5,0,GOOD
"Es ist ein Buch, von dem ich geglaubt habe, es würde mich während des trübsinnigen zweiten Jahres meines Medizinstudiums aufheitern und mir wieder Hoffnung geben.","It's a book that I thought would uplift me during the doldrums of second-year medical school, and renew in me a sense of hope.",It's a book that I thought would cheer me up and give me hope again during the dim second year of my medical studies.,50.52,0.9468,0.9289,0.9378,,,4,0,GOOD
"""In der Hausküche gibt es viel zu entdecken, mit ein paar kleinen Kniffen kann man gute, wenn nicht teilweise bessere Ergebnisse erzielen"", sagt Proctor.","""In home cooking, there is much to be discovered - with a few minor tweaks you can achieve good, if not sometimes better results,"" said Proctor.","""There is a lot to discover in the kitchen, with a few little tricks you can achieve good, if not partly better results,"" says Proctor.",54.18,0.9654,0.9623,0.9639,,,3,0,GOOD
Zudem führt die Kindertrachtentanzgruppe aus Gutach um 11.30 Uhr traditionelle Tänze vor.,The traditional children's dance group from Gutach will also be performing at 11:30 a.m.,"In addition, the children's costume dance group from Gutach performs traditional dances at 11.30 a.m.",59.51,0.9623,0.9672,0.9648,,,3,0,GOOD
Es heißt „The Audacity to Win“ (Mut zu gewinnen) und schildert die Memoiren Barack Obamas zur Präsidentschaftswahl 2008.,"It's called ""The Audacity to Win,"" and it's a memoir of Barack Obama's 2008 presidential campaign.","It is called ""The Audacity to Win"" and describes Barack Obama's memoirs for the 2008 presidential election.",64.1,0.9638,0.9691,0.9664,,,3,0,GOOD
"Der Leiter der nationalen Geheimdienste, James Clapper, verteidigte die Spionage bei Verbündeten als notwendig und erklärte, dies sei auf beiden Seiten üblich.","The national intelligence director, James Clapper, defended spying on allies as necessary and said it's commonplace on both sides.","The head of the national intelligence services, James Clapper, defended the espionage of allies as necessary and declared that this was common on both sides.",67.09,0.9586,0.9688,0.9637,,,5,0,GOOD
"Der Theatermacher verbindet etwa Elemente aus dem autobiografisch geprägten Roman ""Der Leibeigene"" (1987) mit Prosaminiaturen aus ""Leichnam, seine Familie belauernd"" (2003).","The theatre producer has thus combined elements from the autobiographically inspired novel ""Der Leibeigene"" (1987) [The Bondsman] featuring prose miniatures from ""Leichnam, seine Familie belauernd"" (2003) [Corpse, stalking his family].","For example, the theatre maker combines elements from the autobiographical novel ""Der Leibbeigen"" (1987) with prosaminiatures from ""Leichnam, seine Familie belauernd"" (2003).",59.1,0.9251,0.9016,0.9132,,,7,0,SEMANTIC
"Bislang wissen die Forscher weder, welche physikalischen Gesetze in den ersten Sekundenbruchteilen des Urknalls gültig waren, noch woraus Dunkle Materie und Dunkle Energie bestehen.","Thus far, researchers know neither which physical laws applied in the initial moments after the Big Bang, nor what dark matter and dark energy consist of.","So far, the researchers do not know which physical laws were valid in the first fractions of a second of the Big Bang, nor what dark matter and dark energy consist of.",65.77,0.9534,0.9669,0.9601,,,6,0,GOOD
Zugleich mit dem touristischen Aspekt könne auch der ökologische Berücksichtigung finden.,"At the same time as the tourist aspect, environmental aspects should also be taken into consideration.","At the same time as the tourist aspect, environmental considerations could also be taken into account.",83.12,0.9863,0.9863,0.9863,,,2,0,GOOD
Die Verantwortung hierfür trage wiederum die Stadt als Straßenbaulastträgerin.,"The town, as the authority responsible for road construction, would then bear responsibility for this.","The city, in turn, bears the responsibility for this as a road load carrier.",37.53,0.9369,0.9342,0.9355,,,3,0,FLUENCY
"Darüber hinaus haben die Besucher die besondere Gelegenheit, das Freilichtmuseum während einer Kutschfahrt mit Schwarzwälder Füchsen kennenzulernen.","In addition, visitors will have the special opportunity to get to know the open air museum on a carriage journey drawn by Black Forest Chestnut horses.","In addition, visitors have the special opportunity to get to know the open-air museum during a carriage ride with Black Forest foxes.",67.66,0.9699,0.9595,0.9647,,,5,0,GOOD
In unserem Sonnensystem lassen sich diese Vorgänge exemplarisch untersuchen.,"It is possible to investigate these processes in our solar system, to serve as an example to be applied elsewhere.",In our solar system these processes can be investigated exemplary.,42.78,0.9417,0.8922,0.9163,,,2,0,SEMANTIC
Dabei zeigte sich Wolf beeindruckt über die Modellprojekte zur Ausbildung.,"During the presentation, Wolf seemed impressed by the educational pilot project.",Wolf was impressed by the model projects for training.,34.15,0.9401,0.9333,0.9367,,,2,0,FLUENCY
"Katie, die Tochter von Baratz, wurde mit männlichen Chromosomen geboren, hat aber eine DSD namens komplette Androgenresistenz.","Baratz's daughter Katie was born with male chromosomes, but has a DSD called complete androgen insensitivity syndrome.","Katie, the daughter of Baratz, was born with male chromosomes, but has a DSD called complete androgen resistance.",71.4,0.9629,0.9554,0.9591,,,5,0,GOOD
Den zweiten Platz sicherte sich Areane Blersch aus Binzwangen vor Natascha Werner aus Stuttgart.,"Areane Blersch from Binzwangen took second place, ahead of Natascha Werner from Stuttgart.",Second place was secured by Areane Blersch from Binzwangen in front of Natascha Werner from Stuttgart.,79.18,0.9729,0.9827,0.9778,,,3,0,GOOD
"Diese Erkenntnis, die sich bei Unternehmen aller Größen und führenden Konzernen findet, zeigt, dass die Wirtschaft auf eine „sinnvolle Veränderung“ drängt, die das Heft des Handelns wieder nach Großbritannien bringt.","This finding, which was reflected across the sizes and major business groups, shows that business is pushing for a ""meaningful change"" that brings powers back to the UK.","This insight, which is found in companies of all sizes and leading corporations, shows that the economy is pushing for a ""sensible change"" that brings the issue of action back to the UK.",49.44,0.9187,0.9285,0.9235,,,8,0,GOOD
"Die Gäste schafften zunächst das Kunststück, einen 15-Punkte-Rückstand 13 Minuten vor Schluss noch in eine Führung umzuwandeln, ehe Piräus dem Spiel erneut eine Wende gab.","Initially the guests managed to turn a 15-point deficit into a lead, with 13 minutes to go, before Piräus was able to turn the game around once again.","At first, the guests managed to transform a 15-point backlog 13 minutes before the end into a lead before Piraeus gave the game another turn.",47.67,0.9259,0.9212,0.9235,,,6,0,GOOD
"Beide Fahrzeuge prallten zusammen, wobei die Frau so schwer eingeklemmt war, dass die Feuerwehr knapp eine halbe Stunde benötigte, um sie aus dem Fahrzeugwrack zu befreien.","The two vehicles collided, whereby the woman was so severely stuck that it took the fire service almost half an hour to free her from the vehicle wreckage.","Both vehicles collapsed, with the woman so badly trapped that it took the fire brigade less than half an hour to get her out of the vehicle wreck.",50.7,0.9518,0.9526,0.9522,,,5,0,GOOD
Die Habilitation für Fundamentaltheologie und Ökumenische Theologie folgte 2003 an der Westfälischen Wilhelms-Universität.,A post-doctoral lecturing qualification in fundamental theology and ecumenical theology followed in 2003 at the Westfalian Wilhelm's University.,The habilitation for fundamental theology and ecumenical theology followed in 2003 at the University of Westphalia.,61.16,0.9364,0.9123,0.9242,,,4,0,GOOD
"1. November, den die in Den Haag ansässige Organisation Damaskus gesetzt hatte, um alle Einrichtungen zur Herstellung von Chemiewaffen zu zerstören oder „inoperabel“ zu machen, einschließlich aller Maschinen für das Mischen von Chemikalien zu Giftgas und das Befüllen von Munition.","1 deadline set by The Hague-based organization for Damascus to destroy or ""render inoperable"" all chemical weapon production facilities and machinery for mixing chemicals into poison gas and filling munitions.","1 November, which was set up by the organization Damascus, based in The Hague, to destroy or ""inoperable"" all chemical weapons manufacturing facilities, including all machines for mixing chemicals into toxic gas and filling ammunition.",62.51,0.9214,0.9282,0.9248,,,11,0,GOOD
"Ihre Aufwartung machten anschließend die Dreikönig- singer, die Hansjakob zu dem Ausruf veranlassten: ""Ach wie schön, da werden wieder Jugenderinnerungen an meine eigene Dreikönigzeit lebendig"".","The ""Dreikönig"" singers then made their own appearance, leading Hansjakob to exclaim: ""Oh how beautiful, this brings childhood memories of my own time in a Dreikönig group back to life"".","Their expectation was then made by the Dreikönigsinger, which led Hansjakob to the exclamation: ""Oh how beautiful, youth memories of my own Dreikönigenzeit come to life again"".",50.19,0.9167,0.9145,0.9156,,,5,0,SEMANTIC
Demgegenüber liegt das Verhältnis in den Vereinigten Staaten bei einem Arzt für 413 Personen.,"For comparison's sake, the ratio in the United States is one doctor for every 413 people.","On the other hand, the ratio in the United States is for a doctor for 413 persons.",54.06,0.9315,0.9344,0.933,,,4,0,GOOD
Diese Umlage wird jedes Jahr im Oktober von den vier Betreibern der der großen Stromtrassen neu festgesetzt.,"This levy will be reset by the four operators of the large power grids, in October of each year.",This levy is fixed every year in October by the four operators of the large power lines.,62.75,0.9646,0.9561,0.9603,,,5,0,GOOD
"Frühere Forschungen hatten gezeigt, dass glückliche Hunde mit dem Schwanz mehr nach rechts wedelten (aus Sicht des Hundes), während es bei nervösen Hunden die linke Seite war.","Earlier research had revealed that happy dogs wag their tails more to the right (from the dog's point of view), while nervous dogs have a left-dominated swish.","Previous research had shown that happy dogs turned their tails more to the right (from the dog's point of view), while in nervous dogs it was the left side.",67.43,0.9664,0.9538,0.9601,,,7,0,GOOD
Arctic Monkeys verschieben Auftritt in Glasgow wegen der Erkrankung Alex Turners,Arctic Monkeys postpone Glasgow gig due to Alex Turner's illness,Arctic Monkeys postpone appearance in Glasgow due to the disease Alex Turners,62.04,0.9328,0.9435,0.9381,,,2,0,GOOD
"Malaysia, Thailand und Singapur haben nach Einschätzung der Agentur die höchste Haushaltsverschuldung in Asien im Verhältnis zum Bruttoinlandsprodukt.","It said that Malaysia, Thailand and Singapore had the highest household debt to gross domestic product ratios in Asia.","According to the agency, Malaysia, Thailand and Singapore have the highest household debt in Asia relative to gross domestic product.",74.29,0.9654,0.9714,0.9684,,,5,0,GOOD
"Er hat mir erzählt, wenn er hier ist, dann gehe er manchmal durch die Gasse zwischen zwei Gebäuden und denkt sich: Hey, wenn ich mein ganzes Geld verliere, dann lebe ich vielleicht hier.","He was telling me that, when he's here, sometimes he'll walk down an alley between two buildings and think to himself, Hey, if I lose all my money, maybe I'll live here.","He told me that when he's here, he sometimes walks through the alley between two buildings and thinks, ""Hey, if I lose all my money, I might live here.",61.36,0.9767,0.9677,0.9722,,,3,0,GOOD
"Malaysia steht mit 80 Prozent des BIP an der Spitze der Liste, ein Anstieg von 60 Prozent noch im Jahr 2008.","Malaysia topped the list at 80 per cent of GDP, up from 60 per cent in 2008.","Malaysia is at the top of the list with 80 percent of GDP, an increase of 60 percent in 2008.",62.9,0.9509,0.9448,0.9479,,,7,0,GOOD
Die Feuerwehrleute haben Großartiges geleistet.,The firefighters were amazing.,The firemen have done a great job.,27.11,0.9375,0.9544,0.9458,,,2,0,FLUENCY
"""Wir möchten den ganz normalen Betrieb so wenig wie möglich stören"".","""We want to cause as little disruption as possible to normal business"".","""We want to disturb the normal operation as little as possible"".",51.51,0.966,0.961,0.9635,,,1,0,GOOD
"Die Behauptung, der Ausfall sei durch einen verteilt ausgeführten Denial of Service-Angriff (DDoS) verursacht worden, sei nicht wahr.",Claims that the outage was caused by a distributed denial of service [DDoS] attack are not true.,The claim that the failure was caused by a distributed Denial of Service attack (DDoS) was not true.,60.44,0.9695,0.9678,0.9686,,,2,0,GOOD
Denn zahlreiche Betriebe reagierten bislang verhalten bei Einstellungen.,Several companies have thus far reacted cautiously when it comes to hiring.,Many companies have reacted with restraint in recruitment so far.,37.0,0.9622,0.9507,0.9564,,,2,0,FLUENCY
"In die Prüfung finden auch „ungesehene Texte“ Eingang, um zu breiterem Lesen anzuregen.","The exam will also feature ""unseen texts"" to encourage wider reading;","The examination also includes ""unseen texts"" to encourage wider reading.",70.99,0.9787,0.9613,0.97,,,4,0,GOOD
"Ein weiteres Rätsel: Obwohl Jungen die Gesichts- und Schambehaarung schon früher wächst, ist der Trend zu einer vollumfänglichen früheren Pubertät nicht so ausgeprägt wie bei Mädchen.","Another conundrum: Although boys are getting facial and pubic hair at younger ages, the trend toward full-blown early puberty is not as pronounced as it is with girls.","Another riddle: Although boys' facial and pubic hairs have grown earlier, the trend towards full-scale earlier puberty is not as pronounced as in girls.",60.8,0.9693,0.9634,0.9663,,,6,0,GOOD
"Ich bin zuversichtlich, dass die Regierung der Vereinigten Staaten mit Unterstützung der internationalen Gemeinschaft diese abträgliche Haltung ablegen wird.","I am confident that with the support of the international community, the government of the United States will abandon this harmful behaviour.","I am confident that the United States Government, with the support of the international community, will take this negative stance.",66.98,0.9427,0.9421,0.9424,,,5,0,GOOD
Der Trend zur frühen Pubertät ist weniger ausgeprägt bei Jungen,The trend toward early puberty is not as pronounced with boys,The trend towards early puberty is less pronounced among boys,68.69,0.9876,0.9797,0.9836,,,3,0,GOOD
"Diesmal werden wir gewarnt, dass ein unabhängiges Schottland erforderlich sei, um dem Schengen-Raum als Bedingung für die EU-Mitgliedschaft beizutreten.",This time we are warned that an independent Scotland would be required to join the Europe-wide free-travel zone as a condition of EU membership.,This time we are warned that an independent Scotland is needed to join the Schengen area as a condition for EU membership.,63.63,0.9522,0.9483,0.9502,,,4,0,GOOD
"Und spätestens als mit Anpfiff von der Südtribüne die lautstarke Aufforderung ""Derbysieger steht auf"" kam, war wieder alles wie immer.","And as soon as the vociferous request for ""derby winners stand up"" came from the south stand upon kick-off, everything was back to normal.","And at the latest when the loud invitation ""Derby Sieger Stands up"" came from the South Tribune with a hint, everything was as usual again.",34.54,0.8917,0.8951,0.8934,,,4,0,REVIEW
"Soll der Bahnübergang ""Am Hirschen"" aufwändig umgebaut werden, um die Verkehrssicherheit zu erhöhen?","Should the ""Am Hirschen"" railway crossing be reconstructed at great cost, in order to increase traffic safety?","Should the railway crossing ""Am Hirschen"" be extensively rebuilt in order to increase traffic safety?",66.03,0.9735,0.956,0.9647,,,3,0,GOOD
"Der Zuschauer sieht, dass das Zerlegen der Keulen weiterhin Handarbeit ist.",The viewer sees that joints are still carved by hand.,The spectator sees that cutting the clubs is still manual work.,30.39,0.9186,0.9246,0.9216,,,4,0,FLUENCY
Die Tat hatte landesweit Entsetzen ausgelöst.,The crime had caused nationwide horror.,The act had caused national horror.,58.5,0.9783,0.9783,0.9783,,,2,0,GOOD
"Der kanadische Flugzeug- und Eisenbahnhersteller Bombardier Inc meldete am Donnerstag einen 15-prozentigen Rückgang des Nettogewinns, nachdem er durch rückläufige Bestellungen und Auslieferungen bei Flugzeugen im dritten Quartal sowie Vertragsprobleme in der Eisenbahnsparte unter Druck geraten war.","Canadian plane and train maker Bombardier Inc reported a 15 percent fall in net profit on Thursday, pressured by fewer aircraft orders and deliveries in the third quarter and contract issues in its train unit.","Canadian aircraft and railway manufacturer Bombardier Inc reported a 15 percent decline in net profit on Thursday after falling back on orders and deliveries of aircraft in the third quarter, as well as contract problems in the railway sector.",63.53,0.9585,0.9643,0.9614,,,11,0,GOOD
Esa entscheidet über große Weltraummissionen: Missionen für Milliarden,ESA makes decision on major space missions: Missions costing billions,Esa decides on large space missions: Missions for billions,51.86,0.9453,0.9492,0.9472,,,3,0,GOOD
"Scott Alderson, 25, und seine Freundin Becky Hall, 20, denen der Hund gehört, kamen zum Steinbruch Flappit in Denholme, West Yorkshire, um Ruby wieder in Empfang zu nehmen und sich bei den Feuerwehrleuten des West Yorkshire Fire and Rescue Service zu bedanken.","Her owners Scott Alderson, 25, and his girlfriend Becky Hall, 20, were at Flappit Quarry in Denholme, West Yorkshire, to be reunited with Ruby and have thanked West Yorkshire Fire and Rescue Service.","Scott Alderson, 25, and his girlfriend Becky Hall, 20 who owns the dog, came to the Flappit quarry in Denholme, West Yorkshire to receive Ruby again and to thank the firefighters of the West Yorkshire Fire and Rescue Service.",70.21,0.9384,0.9448,0.9416,,,8,0,GOOD
Ich suche schon seit einiger Zeit eine neue Wohnung für meinen Mann und mich.,I have been looking for a new home for my husband and myself for some time now.,I've been looking for a new apartment for my husband and me for some time.,70.11,0.9855,0.9793,0.9824,,,3,0,GOOD
"Ein Reisender erzählte dem Sender CNN, viele Menschen hätten in Panik Schutz gesucht.",One traveller told the broadcaster CNN about how many people had sought protection in panic.,A traveller told CNN that many people were looking for protection in panic.,51.2,0.9565,0.946,0.9512,,,5,0,GOOD
"Dort ließ er sie zum Teil überwachen, um ihre Einnahmen zu kontrollieren.","There he had them monitored to some extent, in order to control their income.",There he had them partially monitored to control their revenues.,54.98,0.9735,0.9542,0.9637,,,2,0,GOOD
Das teilt Ulrich Knobel vom veranstaltenden Sportverein Illmensee mit.,This was announced by Ulrich Knobel of the organising Illmensee Sports Club.,This is what Ulrich Knobel from the organiser Sportverein Illmensee tells us.,48.17,0.9195,0.9302,0.9248,,,2,0,GOOD
"Ein Sprecher des israelischen Verteidigungsministeriums sagte jedenfalls: ""Wir kommentieren diese Berichte nicht"".","In any case, a spokesperson for the Israeli Ministry of Defence said: ""We are not commenting on these reports"".","At any rate, a spokesman for the Israeli Ministry of Defense said: ""We do not comment on these reports.""",68.24,0.9785,0.9759,0.9772,,,3,0,GOOD
"Doch er stritt ab, die Änderungen auf Bitten von Obeid vorgenommen zu haben, der, wie Tripodi bestätigte, auf eine Umgestaltung der Pachtregelungen der Regierung gedrängt hatte.","But he denied the changes were made at the request of Mr Obeid, who Mr Tripodi acknowledged was urging a shift in government lease policy.","But he denied having made the changes at the request of Obeid, who, as Tripodi confirmed, had pushed for a reshaping of the government's lease arrangements.",50.77,0.9503,0.9525,0.9514,,,5,0,GOOD
Er und die Gemeinderäte freuten sich sichtlich über die guten Zahlen.,He and the Town Councillors are clearly delighted with the good figures.,He and the councillors were visibly pleased with the good figures.,59.32,0.968,0.9555,0.9617,,,2,0,GOOD
"Eine 21-jährige Frau aus Sydney, die in Phuket zu 15 Tagen Gefängnis verurteilt wurde, weil sie fälschlicherweise behauptet hatte, von einem Taxifahrer vergewaltigt worden zu sein, hat gegen das Urteil Berufung eingelegt und wurde auf Kaution freigelassen.",A 21-year-old Sydney woman sentenced to 15 days jail in Phuket for falsely claiming she was assaulted by a taxi driver is appealing the verdict and has been granted bail.,"A 21-year-old woman from Sydney, who was sentenced to 15 days in prison in Phuket because she falsely claimed to have been raped by a taxi driver, appealed the verdict and was released on bail.",58.65,0.9598,0.9674,0.9636,,,8,0,GOOD
"Als Déjà Vu bezeichnet man laut Lexikon ein psychologisches Phänomen, das sich in dem Gefühl äußert, eine neue Situation schon einmal erlebt oder gesehen zu haben.","According to dictionaries, déjà vu is defined as a psychological phenomenon, which expresses itself in the feeling of having already experienced or seen a new situation.","According to the lexicon, Déjà Vu is a psychological phenomenon that manifests itself in the feeling that it has experienced or seen a new situation before.",60.33,0.9547,0.9525,0.9536,,,4,0,GOOD
Vier Fahrer konnten sich von den regionalen Spitzenfahrern absetzen.,Four cyclists managed to break away from the top regional racers.,Four drivers were able to set off from the top regional drivers.,41.72,0.9421,0.9401,0.9411,,,2,0,GOOD
"Sie müssen nachweisen, dass ihre Flugzeuge die Funkstörungen durch Mobilgeräte tolerieren können, und Handbücher, Schulungsmaterialien, Handgepäck-Programme sowie Kundenunterweisung ändern.","Carriers will need to prove their planes can tolerate radio interference from mobile devices as well as revise manuals, training materials, carry-on baggage programs and passenger briefings.","They must demonstrate that their aircraft can tolerate radio interference from mobile devices and modify manuals, training materials, hand baggage programs and customer training.",57.92,0.9502,0.941,0.9456,,,6,0,GOOD
Die abgehörten Gespräche seien von hoher Aggression geprägt gewesen.,The intercepted conversations were characterised by a high level of aggression.,The intercepted talks were marked by high aggression.,43.23,0.9409,0.9297,0.9353,,,2,0,GOOD
"In dem Brief schreibt Snowden, er sei davon überzeugt, dass die Unterstützung der internationalen Gemeinschaft die amerikanische Regierung davon überzeugen könne, die Anklage gegen ihn fallen zu lassen.","In the letter, Mr Snowden said he believed the support of the international community could persuade the US government to abandon criminal charges against him.","In the letter, Snowden writes that he is convinced that the support of the international community can convince the American government to drop the charges against him.",62.07,0.9689,0.9681,0.9685,,,6,0,GOOD
"Der neue Impfstoff enthält einen harmlosen Virus, der so verändert wurde, dass er die genetischen Informationen zur Herstellung von Nikotin-Antikörpern enthält.",The new vaccine contains a harmless virus that has been engineered to carry the genetic information to make anti-nicotine antibodies.,The new vaccine contains a harmless virus that has been modified to contain the genetic information for the production of nicotine antibodies.,74.28,0.9691,0.964,0.9665,,,5,0,GOOD
Für mich hatte die Umstellung einen positiven Aspekt.,Converting has had a positive effect for me.,"For me, the change had a positive aspect.",40.89,0.9416,0.9373,0.9394,,,2,0,GOOD
Den ganzen Hintergrundbericht dazu finden Sie im Allgäuer Anzeigeblatt vom 31.10.2013 (Seite 33).,"The complete background report on this can be found in the ""Allgäuer Anzeigeblatt"" newspaper dated 31/10/2013 (page 33).",The whole background report can be found in the Allgäuer Anzeigeblatt of 31.10.2013 (page 33).,60.65,0.9742,0.9523,0.9632,,,3,0,GOOD
"Am 21. Juni zusammen mit der Sonnwendfeier des Schwarzwaldvereins, am 12. Juli in der Arena mit Feuerwerk und am 13. Dezember als erstes Konzert der Stadtmusik in der neuen Festhalle.","On 21 June, in conjunction with the Schwarzwaldverein [Black Forest Association] Mid-Summer Festival, on 12 July in the Arena, accompanied by fireworks, and on 13 December as the first concert put on by the Stadtmusik (Town Musical Society) in the new Festival Hall.","On June 21st, together with the Sunday celebration of the Schwarzwaldverein, on July 12th in the arena with fireworks and on December 13th as the first concert of the city music in the new festival hall.",40.83,0.9402,0.9123,0.9261,,,10,0,GOOD
Auch Einzelheiten wie der Ph-Wert des Fleisches spielen eine Rolle.,Even specific details such as the pH value of the meat play a role.,Details such as the ph-value of the meat also play a role.,64.91,0.9464,0.9495,0.9479,,,4,0,GOOD
"Bei der Entdeckung des Tunnels seien achteinhalb Tonnen Marihuana und 148 Kilogramm Kokain sichergestellt worden, so die Aufzeichnungen des Gerichts.","Authorities seized eight-and-a-half tons of marijuana and 327 pounds of cocaine in connection with the tunnel's discovery, according to court records.","The discovery of the tunnel involved eight and a half tons of marijuana and 148 kilograms of cocaine, according to the court's records.",53.12,0.9575,0.9487,0.9531,,,8,0,GOOD
"„Das stellt die langfristig sinnvollste Alternative dar“, sagte er.","""This works out as the most logical alternative over the long term,"" he said.","""This is the most sensible alternative in the long term,"" he said.",57.74,0.9737,0.962,0.9678,,,1,0,GOOD
"NSA erklärt, ein „interner Fehler“ und nicht Hacker seien Schuld am Crash der Website","NSA Blames ""Internal Error,"" Not Hackers, For Website Crash","NSA explains that an ""internal mistake"" and not hackers are responsible for the crash of the website",30.53,0.9263,0.9444,0.9353,,,5,0,FLUENCY
Die drei Schiffsentlader auf der Brücke sowie das zweite Transportband könnten bis zu 10 Millionen schaffen.,The three ship unloaders on the bridge and the second transport belt could see this rise to 10 million.,The three ship unloaders on the bridge as well as the second conveyor belt could create up to 10 million.,66.49,0.9419,0.9492,0.9455,,,4,0,GOOD
"Eine entspanntere Atmosphäre zu schaffen, ist das Ziel dieser Neuerung.",The goal of this adjustment is to create a more relaxing atmosphere.,To create a more relaxed atmosphere is the goal of this innovation.,62.79,0.959,0.9588,0.9589,,,3,0,GOOD
"Ich konnte gar nicht glauben, dass sie wirklich da oben war.",I could not believe that she was up there in the first place.,I couldn't believe she was really up there.,42.62,0.9603,0.9357,0.9478,,,0,0,GOOD
"Der Abschluss dieses Vorgangs, der im Grunde genommen die erste Stufe der Zerstörung darstellt, ist ein wichtiger Meilenstein eines ambitionierten Zeitplans, der auf die Vernichtung aller Chemiewaffen Syriens bis Mitte 2014 abzielt.",The completion of what is essentially the initial stage of destruction is a significant milestone in an ambitious timeline that aims to destroy all of Damascus' chemical weapons by mid-2014.,"The completion of this process, which is basically the first stage of destruction, is an important milestone in an ambitious timetable aimed at the destruction of all Syria's chemical weapons by mid-2014.",61.56,0.9578,0.9629,0.9603,,,10,0,GOOD
"Wie Wilkie heute erklärte, würden die 325 Millionen Dollar nur wenig nützen, wenn „sie nicht von echten Reformen begleitet werden, die das öffentliche tasmanische Gesundheitssystem auf einen nachhaltigeren Kurs bringen.“","Mr Wilkie today said the $325 million would count for little ""unless it's followed by genuine reform to put Tasmania's public health system on a more sustainable footing.""","As Wilkie said today, the $325 million would be of little use if ""they were not accompanied by real reforms that put the public Tasmanian health system on a more sustainable path.",53.79,0.9496,0.9512,0.9504,,,5,0,GOOD
Zwischen den einzelnen Spielszenen spielte die Mühlenbacher Bauernkapelle passend ausgewählte Musikstücke und rundete damit die Aufführung ab.,"Between the individual scenes, the Mühlenbacher Bauernkapelle played appropriately selected musical pieces, thus rounding off the performance.","Between the individual play scenes, the Mühlenbacher Bauernkapelle played appropriately selected pieces of music and rounded off the performance.",82.89,0.9826,0.9846,0.9836,,,4,0,GOOD
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East.","There is also a training and test day in February at the Defender Challenge, as well as the option to participate in desert races in North Africa and the Middle East.",71.62,0.972,0.9722,0.9721,,,6,0,GOOD
"Die Untersuchung kam zu dem Ergebnis, dass nicht auszuschließen sei, dass die Neigungsverhältnisse der Straße dazu führen könnten, dass längere Fahrzeuge aufsitzen.",The investigation came to the conclusion that it could not be ruled out that the inclination of the road could result in longer vehicles becoming stuck.,The investigation concluded that it could not be ruled out that the inclination ratios of the road could lead to longer vehicles being seated.,70.51,0.9555,0.9623,0.9589,,,5,0,GOOD
Ebenfalls beschädigt wurde der hinter dem BMW fahrende VW Passat eines 19-Jährigen.,The VW Passat of a 19-year-old driver travelling behind the BMW was also damaged.,The VW Passat from a 19-year-old behind the BMW was also damaged.,68.38,0.9764,0.9624,0.9693,,,1,0,GOOD
"Die Eiscreme nutzt die fluoreszierenden Eigenschaften einer Qualle, die von chinesischen Wissenschaftler künstlich hergestellt werden","The ice cream harnesses the fluorescent properties of a jellyfish, synthesized by Chinese scientists",The ice cream uses the fluorescent properties of a jellyfish artificially produced by Chinese scientists,76.06,0.9671,0.9624,0.9648,,,4,0,GOOD
"""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.","""In terms of the high traffic and pedestrian traffic, another traffic light had to come to their safety,"" says Eckert.",45.22,0.9282,0.9317,0.93,Sicherheit,,3,0,GOOD
